date,latitude,longitude,wind_speed_10m_max,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_hours,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min
2015-02-08 00:00:00+00:00,33.040619,-83.643074,13.138765,0.0,9.5252495,17.744,3.8940003,0.0,61.575535,77.64489,40.575195
2015-02-09 00:00:00+00:00,33.040619,-83.643074,19.64558,61.0,11.939834,14.944,10.144,11.0,90.18891,100.0,68.88322
2015-02-10 00:00:00+00:00,33.040619,-83.643074,19.513195,3.0,9.308583,13.344,4.694,0.0,75.40043,96.44328,55.37404
2015-02-11 00:00:00+00:00,33.040619,-83.643074,11.212135,0.0,8.3689995,15.893999,2.644,0.0,68.971214,88.560555,51.45004
2015-02-12 00:00:00+00:00,33.040619,-83.643074,25.96995,3.0,7.8190002,11.9939995,4.594,0.0,64.24106,85.918236,36.23217
2015-02-13 00:00:00+00:00,33.040619,-83.643074,22.73707,3.0,1.4731666,6.444,-2.006,0.0,38.359463,48.95932,33.03766
2015-02-14 00:00:00+00:00,33.040619,-83.643074,18.345877,3.0,4.5252495,13.544,-0.95600003,0.0,53.994236,66.68721,38.45294
2015-02-15 00:00:00+00:00,33.040619,-83.643074,21.900904,3.0,5.229417,10.2439995,-1.3560001,0.0,40.96151,61.905613,27.024147
2015-02-16 00:00:00+00:00,33.040619,-83.643074,13.746156,3.0,5.1940002,11.644,1.844,0.0,55.443905,70.671875,43.275806
2015-02-17 00:00:00+00:00,33.040619,-83.643074,20.00512,63.0,7.529417,15.2439995,0.644,7.0,73.93983,99.99999,44.230602
2015-02-18 00:00:00+00:00,33.040619,-83.643074,25.277023,3.0,2.058583,6.5439997,-2.156,0.0,48.230625,57.24716,38.75301
2015-02-19 00:00:00+00:00,33.040619,-83.643074,19.61587,1.0,-2.58725,1.844,-5.556,0.0,32.880962,40.456,25.544416
2015-02-20 00:00:00+00:00,33.040619,-83.643074,11.720751,3.0,-2.3414164,3.594,-6.056,0.0,30.797882,42.613434,25.94002
2015-02-21 00:00:00+00:00,33.040619,-83.643074,20.674158,3.0,4.3210835,15.7439995,-1.956,0.0,52.981903,70.86596,44.293804
2015-02-22 00:00:00+00:00,33.040619,-83.643074,18.057508,61.0,11.604416,16.344,8.044,15.0,87.42538,100.0,65.7708
2015-02-23 00:00:00+00:00,33.040619,-83.643074,15.277749,63.0,10.523167,14.344,6.594,14.0,89.63813,100.0,57.56412
2015-02-24 00:00:00+00:00,33.040619,-83.643074,11.200571,63.0,5.5273337,9.4939995,3.9940002,15.0,88.339966,100.0,51.691593
2015-02-25 00:00:00+00:00,33.040619,-83.643074,11.808878,63.0,3.9710836,6.394,1.8939999,6.0,83.40203,99.65156,55.575325
2015-02-26 00:00:00+00:00,33.040619,-83.643074,17.294992,63.0,5.002333,10.194,1.794,6.0,83.10083,100.0,54.19565
2015-02-27 00:00:00+00:00,33.040619,-83.643074,12.181624,3.0,5.4002495,12.394,-0.206,0.0,64.88066,79.604294,42.19456
2015-02-28 00:00:00+00:00,33.040619,-83.643074,15.459054,3.0,6.191916,12.544,2.144,0.0,69.717125,92.76129,54.546154
2015-03-01 00:00:00+00:00,33.040619,-83.643074,12.429127,51.0,6.275251,9.2439995,4.594,9.0,86.17109,93.34161,64.05125
2015-03-02 00:00:00+00:00,33.040619,-83.643074,8.647496,51.0,10.710666,18.744,6.744,3.0,90.5617,99.32445,71.54301
2015-03-03 00:00:00+00:00,33.040619,-83.643074,9.028754,3.0,13.921082,18.544,11.294,0.0,90.3161,96.0956,79.731
2015-03-04 00:00:00+00:00,33.040619,-83.643074,19.966211,3.0,17.348167,22.944,13.394,0.0,86.67242,98.72153,60.106052
2015-03-05 00:00:00+00:00,33.040619,-83.643074,25.006397,61.0,17.37525,21.144,7.694,5.0,83.556946,95.41083,67.98716
2015-03-06 00:00:00+00:00,33.040619,-83.643074,21.986542,3.0,6.1419168,11.2439995,2.9940002,0.0,56.555317,68.42702,46.6886
2015-03-07 00:00:00+00:00,33.040619,-83.643074,10.163227,3.0,7.514833,16.544,0.34399998,0.0,53.02098,68.106415,28.173342
2015-03-08 00:00:00+00:00,33.040619,-83.643074,8.825508,3.0,10.629416,19.944,2.844,0.0,63.410313,90.50551,31.986307
2015-03-09 00:00:00+00:00,33.040619,-83.643074,10.661107,3.0,13.8315,21.344,8.4939995,0.0,66.21639,89.38431,39.32532
2015-03-10 00:00:00+00:00,33.040619,-83.643074,17.377226,3.0,17.769001,24.694,13.194,0.0,71.23851,87.967804,52.721886
2015-03-11 00:00:00+00:00,33.040619,-83.643074,15.379206,51.0,18.773167,23.244,15.2439995,5.0,84.8362,99.359955,71.19337
2015-03-12 00:00:00+00:00,33.040619,-83.643074,15.111424,51.0,18.133581,22.844,14.894,1.0,88.246956,99.36558,64.87199
2015-03-13 00:00:00+00:00,33.040619,-83.643074,18.391735,53.0,12.731502,19.544,9.794,12.0,78.977715,93.81709,51.16843
2015-03-14 00:00:00+00:00,33.040619,-83.643074,15.815435,53.0,15.596082,22.044,10.644,7.0,87.47113,99.67513,64.6678
2015-03-15 00:00:00+00:00,33.040619,-83.643074,11.304229,3.0,17.871084,24.544,12.944,0.0,73.58898,98.07219,31.629332
2015-03-16 00:00:00+00:00,33.040619,-83.643074,11.200571,1.0,16.791916,26.744,8.594,0.0,56.659744,76.42288,23.49925
