date,latitude,longitude,wind_speed_10m_max,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_hours,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min
2015-01-01 00:00:00+00:00,31.054487,-97.563461,17.076298,53.0,2.1731665,2.844,1.694,15.0,83.41977,92.80102,69.03786
2015-01-02 00:00:00+00:00,31.054487,-97.563461,14.494192,51.0,3.1481667,4.194,2.694,11.0,94.386536,98.26083,91.82058
2015-01-03 00:00:00+00:00,31.054487,-97.563461,16.42247,63.0,5.956501,14.194,2.594,10.0,81.43316,98.95158,39.758327
2015-01-04 00:00:00+00:00,31.054487,-97.563461,25.420181,2.0,5.323167,11.4939995,2.394,0.0,57.438065,75.997345,41.393066
2015-01-05 00:00:00+00:00,31.054487,-97.563461,15.137133,3.0,1.1898333,8.644,-3.156,0.0,60.151134,78.25881,40.476307
2015-01-06 00:00:00+00:00,31.054487,-97.563461,16.071491,3.0,7.044,15.694,2.694,0.0,62.014324,80.61842,49.47157
2015-01-07 00:00:00+00:00,31.054487,-97.563461,35.728977,3.0,6.4544163,13.294,3.644,0.0,69.3783,92.27055,39.50109
2015-01-08 00:00:00+00:00,31.054487,-97.563461,27.193705,3.0,-1.2372501,3.9940002,-5.156,0.0,38.055325,51.31107,33.377293
2015-01-09 00:00:00+00:00,31.054487,-97.563461,20.608229,51.0,1.3398333,2.644,0.394,2.0,69.94881,83.43002,50.09638
2015-01-10 00:00:00+00:00,31.054487,-97.563461,14.471821,53.0,0.7064999,1.794,-0.256,9.0,65.532524,82.972435,43.05702
2015-01-11 00:00:00+00:00,31.054487,-97.563461,7.628263,61.0,2.2044165,7.844,0.14400001,12.0,89.009285,95.77434,79.36838
2015-01-12 00:00:00+00:00,31.054487,-97.563461,20.929596,3.0,4.8106675,7.744,1.294,0.0,88.22721,100.0,65.73625
2015-01-13 00:00:00+00:00,31.054487,-97.563461,19.881649,3.0,3.5273333,6.244,1.3939999,0.0,70.6753,74.35807,66.042915
2015-01-14 00:00:00+00:00,31.054487,-97.563461,12.661564,3.0,3.2856672,4.394,2.094,0.0,69.93255,75.667046,64.751335
2015-01-15 00:00:00+00:00,31.054487,-97.563461,13.53236,51.0,5.254417,12.094,1.744,1.0,68.35171,80.404884,47.269466
2015-01-16 00:00:00+00:00,31.054487,-97.563461,10.630672,3.0,6.535667,15.9939995,-0.45600003,0.0,72.69161,94.37228,39.292725
2015-01-17 00:00:00+00:00,31.054487,-97.563461,20.364674,3.0,10.844001,20.844,5.694,0.0,66.64057,83.95836,34.005344
2015-01-18 00:00:00+00:00,31.054487,-97.563461,21.175835,3.0,12.066918,19.244,3.7440002,0.0,51.30408,83.42455,28.852419
2015-01-19 00:00:00+00:00,31.054487,-97.563461,18.947083,3.0,12.6315,21.194,7.244,0.0,52.755825,67.10846,39.282467
2015-01-20 00:00:00+00:00,31.054487,-97.563461,11.592894,0.0,12.935668,21.544,5.5439997,0.0,75.48526,95.629486,43.31926
2015-01-21 00:00:00+00:00,31.054487,-97.563461,18.581022,51.0,11.860667,17.644,10.2439995,3.0,80.41584,94.82234,61.05177
2015-01-22 00:00:00+00:00,31.054487,-97.563461,29.88217,63.0,7.7585835,10.644,4.194,24.0,94.62271,96.661026,88.33421
2015-01-23 00:00:00+00:00,31.054487,-97.563461,24.336637,53.0,5.1148334,9.294,3.844,9.0,82.923775,93.20013,48.203484
2015-01-24 00:00:00+00:00,31.054487,-97.563461,13.684735,3.0,6.8648334,15.594,1.3939999,0.0,57.669598,71.58416,37.25849
2015-01-25 00:00:00+00:00,31.054487,-97.563461,21.629978,3.0,11.083584,18.694,6.944,0.0,51.427704,63.728477,27.26027
2015-01-26 00:00:00+00:00,31.054487,-97.563461,15.9134655,3.0,11.918999,21.294,4.744,0.0,46.556118,77.501724,30.049623
2015-01-27 00:00:00+00:00,31.054487,-97.563461,16.946787,3.0,15.283585,23.444,10.194,0.0,49.377625,56.984474,41.27403
2015-01-28 00:00:00+00:00,31.054487,-97.563461,21.791153,3.0,16.106499,24.994,9.2439995,0.0,66.34674,85.543526,36.62457
2015-01-29 00:00:00+00:00,31.054487,-97.563461,19.694992,3.0,16.558582,21.194,11.2439995,0.0,63.322536,91.70767,41.223057
