date,latitude,longitude,wind_speed_10m_max,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_hours,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min
2015-01-01 00:00:00+00:00,40.388783,-82.764915,27.792374,3.0,-5.0005,0.42450002,-7.6254997,0.0,39.457977,49.207367,31.185118
2015-01-02 00:00:00+00:00,40.388783,-82.764915,19.694992,3.0,-1.7442498,1.8245,-3.9255,0.0,53.026035,66.59258,49.19655
2015-01-03 00:00:00+00:00,40.388783,-82.764915,25.264202,63.0,1.73075,10.0745,-2.2254999,14.0,86.485596,99.31923,70.08012
2015-01-04 00:00:00+00:00,40.388783,-82.764915,29.301876,71.0,8.582833,12.7245,0.5245,18.0,89.369896,97.4087,74.346436
2015-01-05 00:00:00+00:00,40.388783,-82.764915,29.533169,71.0,-7.921333,-0.1755,-11.6255,2.0,51.5054,78.319305,33.076942
2015-01-06 00:00:00+00:00,40.388783,-82.764915,17.698677,73.0,-10.246334,-9.5255,-11.5255,9.0,63.737057,83.182236,32.04506
2015-01-07 00:00:00+00:00,40.388783,-82.764915,26.739542,71.0,-13.748418,-12.3255,-15.5755,0.0,70.57817,79.292564,51.63591
2015-01-08 00:00:00+00:00,40.388783,-82.764915,22.734219,3.0,-17.740082,-10.6255,-22.525501,0.0,63.074,79.151344,45.0625
2015-01-09 00:00:00+00:00,40.388783,-82.764915,31.160282,73.0,-10.425501,-7.7255,-14.3755,11.0,64.52191,77.9408,44.26453
2015-01-10 00:00:00+00:00,40.388783,-82.764915,21.26744,3.0,-16.321335,-10.0755,-20.525501,0.0,65.70821,72.96827,50.697227
2015-01-11 00:00:00+00:00,40.388783,-82.764915,16.808569,71.0,-7.073417,-1.4255,-12.1255,3.0,54.39867,59.612823,49.833458
2015-01-12 00:00:00+00:00,40.388783,-82.764915,18.532133,75.0,-0.6255,0.17449999,-2.6255,19.0,87.34905,97.49174,60.477398
2015-01-13 00:00:00+00:00,40.388783,-82.764915,20.275383,3.0,-8.64425,-3.3255,-12.5755,0.0,76.64999,88.68554,59.311344
2015-01-14 00:00:00+00:00,40.388783,-82.764915,10.464797,3.0,-13.131751,-9.0755,-16.6755,0.0,73.14585,81.9322,68.98644
2015-01-15 00:00:00+00:00,40.388783,-82.764915,15.124284,3.0,-9.781751,-2.4754999,-15.8255,0.0,72.55928,86.39292,51.959843
2015-01-16 00:00:00+00:00,40.388783,-82.764915,18.837322,3.0,-3.9025834,-1.0755,-5.2755,0.0,79.29097,91.62633,66.0761
2015-01-17 00:00:00+00:00,40.388783,-82.764915,24.74329,3.0,-3.1567497,5.9245,-10.9255,0.0,83.231026,95.355286,65.14724
2015-01-18 00:00:00+00:00,40.388783,-82.764915,27.77838,71.0,2.8411672,4.4245,0.9245,9.0,78.88058,98.576706,65.94879
2015-01-19 00:00:00+00:00,40.388783,-82.764915,17.076298,73.0,-0.48174992,3.4745002,-4.2755,3.0,83.43654,93.61704,58.84441
2015-01-20 00:00:00+00:00,40.388783,-82.764915,7.386582,71.0,0.8765834,5.3245,-1.7755,5.0,78.024925,88.82248,59.975483
2015-01-21 00:00:00+00:00,40.388783,-82.764915,19.523155,73.0,0.6745,3.4745002,-0.77550006,9.0,85.598206,96.070946,69.75474
2015-01-22 00:00:00+00:00,40.388783,-82.764915,10.739832,73.0,-1.9296664,0.12450001,-3.1255,4.0,85.17746,96.39323,72.3182
2015-01-23 00:00:00+00:00,40.388783,-82.764915,7.0911775,3.0,-2.5046666,0.2245,-5.6755,0.0,75.873604,83.80373,67.51376
2015-01-24 00:00:00+00:00,40.388783,-82.764915,20.774214,3.0,-2.88175,1.4245,-6.6254997,0.0,81.50234,89.10959,71.15432
2015-01-25 00:00:00+00:00,40.388783,-82.764915,16.039202,73.0,-0.123416685,0.82449996,-0.7255,9.0,89.76879,95.37892,84.44658
2015-01-26 00:00:00+00:00,40.388783,-82.764915,19.66536,73.0,-6.246334,-1.3755001,-8.7255,15.0,83.45613,93.24363,72.61164
2015-01-27 00:00:00+00:00,40.388783,-82.764915,17.076298,3.0,-9.504666,-6.1755,-13.5755,0.0,77.18313,84.55539,65.41354
2015-01-28 00:00:00+00:00,40.388783,-82.764915,12.783802,3.0,-9.990084,-3.2754998,-15.1255,0.0,71.50747,87.98879,52.489544
2015-01-29 00:00:00+00:00,40.388783,-82.764915,25.264202,71.0,-1.4796664,5.3745003,-5.7255,11.0,71.83357,95.41405,57.053177
2015-01-30 00:00:00+00:00,40.388783,-82.764915,25.872454,73.0,-5.148417,0.074499995,-8.6755,6.0,73.600555,94.005264,49.970272
2015-01-31 00:00:00+00:00,40.388783,-82.764915,17.10284,3.0,-7.5150833,-0.4255,-14.1755,0.0,61.09566,74.775696,47.18979
2015-02-01 00:00:00+00:00,40.388783,-82.764915,20.497883,73.0,-1.2275833,1.6244999,-2.6255,18.0,83.57429,93.698006,68.10917
2015-02-02 00:00:00+00:00,40.388783,-82.764915,28.894344,73.0,-5.6879997,3.3745,-11.8255,9.0,85.24334,99.64783,71.673
2015-02-03 00:00:00+00:00,40.388783,-82.764915,17.713316,3.0,-10.777583,-2.0755,-16.2255,0.0,70.37058,84.18961,51.033943
2015-02-04 00:00:00+00:00,40.388783,-82.764915,18.079027,73.0,-1.1713332,3.1745,-4.1755,5.0,70.34846,96.76841,62.39092
2015-02-05 00:00:00+00:00,40.388783,-82.764915,24.798225,73.0,-10.219249,-1.8255,-15.1755,6.0,75.12426,93.21922,53.911213
2015-02-06 00:00:00+00:00,40.388783,-82.764915,18.58451,3.0,-10.281749,-2.0755,-19.1755,0.0,63.462452,73.36951,55.083008
2015-02-07 00:00:00+00:00,40.388783,-82.764915,18.998316,3.0,-0.9650833,5.9745,-5.6254997,0.0,66.111946,78.19727,62.218006
2015-02-08 00:00:00+00:00,40.388783,-82.764915,22.768396,51.0,5.94325,11.4245,3.1745,1.0,83.02738,89.06485,66.828735
2015-02-09 00:00:00+00:00,40.388783,-82.764915,19.602652,53.0,-1.5109166,8.3745,-6.8255,6.0,84.80107,97.587776,70.36373
2015-02-10 00:00:00+00:00,40.388783,-82.764915,19.70815,3.0,-5.9442487,-1.2255,-8.1255,0.0,70.11002,73.5713,62.61623
2015-02-11 00:00:00+00:00,40.388783,-82.764915,17.22742,71.0,-3.771334,2.8745,-9.4255,1.0,73.669426,82.33817,60.810066
2015-02-12 00:00:00+00:00,40.388783,-82.764915,26.712873,73.0,-5.5713334,0.3745,-11.2755,3.0,71.35395,89.58559,49.326942
2015-02-13 00:00:00+00:00,40.388783,-82.764915,19.826164,3.0,-11.465083,-5.5755,-16.2255,0.0,52.495026,61.456013,43.087574
2015-02-14 00:00:00+00:00,40.388783,-82.764915,37.008278,73.0,-5.7025833,-2.9754999,-12.6755,7.0,53.752686,66.255875,45.277645
2015-02-15 00:00:00+00:00,40.388783,-82.764915,26.867676,3.0,-17.985916,-13.6255,-21.875502,0.0,57.63095,64.55786,48.282745
2015-02-16 00:00:00+00:00,40.388783,-82.764915,12.57426,71.0,-17.429668,-12.1255,-20.775501,3.0,60.02164,65.64792,48.45054
2015-02-17 00:00:00+00:00,40.388783,-82.764915,15.077082,71.0,-13.44217,-5.5255,-20.625502,3.0,66.061424,81.87501,43.15937
2015-02-18 00:00:00+00:00,40.388783,-82.764915,26.368616,73.0,-9.85675,-7.3255,-12.1255,7.0,69.0794,82.10638,50.910233
2015-02-19 00:00:00+00:00,40.388783,-82.764915,25.364037,3.0,-16.51925,-12.9755,-19.4755,0.0,62.333035,73.87318,42.772884
2015-02-20 00:00:00+00:00,40.388783,-82.764915,17.015474,3.0,-16.715084,-11.5755,-21.775501,0.0,61.03754,75.60938,45.673294
